datetime_utc,et_seconds,station_id,station_name,mgs_x_km,mgs_y_km,mgs_z_km,mgs_vx_km_s,mgs_vy_km_s,mgs_vz_km_s,mars_sun_x_km,mars_sun_y_km,mars_sun_z_km,stat_earth_x_km,stat_earth_y_km,stat_earth_z_km,earth_sun_x_km,earth_sun_y_km,earth_sun_z_km
1997-09-20 15:01:30,-71960246.81760576,65,DSS-65,32523.510035506763,22801.01387178961,-39954.38950934579,0.1597489129599883,-0.14880748580705316,0.2504427265235989,-2136313.583589808,-198046211.67631876,-90779357.44828446,-3687.7944675764943,-3170.828972315026,4113.780744399736,150092431.8252143,-5483360.87272673,-2376780.7702280255
1997-09-20 15:02:30,-71960186.81760576,65,DSS-65,32533.080944819878,22792.075592165005,-39939.34571921623,0.15928133820109533,-0.14913517240449817,0.25101695305665056,-2134804.8564977413,-198046096.29384115,-90779345.3234356,-3673.886741381335,-3186.9295550122065,4113.783251782519,150092474.36212212,-5481728.937639423,-2376073.184836559
1997-09-20 15:02:30,-71960186.81760576,65,DSS-65,32533.080944819878,22792.075592165005,-39939.34571921623,0.15928133820109533,-0.14913517240449817,0.25101695305665056,-2134804.8564977413,-198046096.29384115,-90779345.3234356,-3673.886741381335,-3186.9295550122065,4113.783251782519,150092474.36212212,-5481728.937639423,-2376073.184836559
1997-09-20 15:03:30,-71960126.81760576,65,DSS-65,32542.623788968478,22783.1176506097,-39924.2674739398,0.1588134073212497,-0.14946288357055026,0.2515912315496076,-2133296.1293067243,-198045980.9022141,-90779333.19439292,-3659.9087041527537,-3202.9691337558074,4113.78577775128,150092516.87795314,-5480097.001684286,-2375365.5990802627
1997-09-20 15:03:30,-71960126.81760576,65,DSS-65,32542.623788968478,22783.1176506097,-39924.2674739398,0.1588134073212497,-0.14946288357055026,0.2515912315496076,-2133296.1293067243,-198045980.9022141,-90779333.19439292,-3659.9087041527537,-3202.9691337558074,4113.78577775128,150092516.87795314,-5480097.001684286,-2375365.5990802627
1997-09-20 15:04:30,-71960066.81760578,65,DSS-65,32552.138546555027,22774.140045638575,-39909.15477037921,0.15834511938947554,-0.14979061974631852,0.25216556278377644,-2131787.4020172046,-198045865.50143766,-90779321.06115636,-3645.8606234750814,-3218.947401497054,4113.7883222576575,150092559.3727073,-5478465.064861941,-2374658.0129594076
1997-09-20 15:04:30,-71960066.81760578,65,DSS-65,32552.138546555027,22774.140045638575,-39909.15477037921,0.15834511938947554,-0.14979061974631852,0.25216556278377644,-2131787.4020172046,-198045865.50143766,-90779321.06115636,-3645.8606234750814,-3218.947401497054,4113.7883222576575,150092559.3727073,-5478465.064861941,-2374658.0129594076
1997-09-20 15:05:30,-71960006.81760578,65,DSS-65,32561.625196133136,22765.142775733344,-39894.00760533902,0.15787647347183317,-0.15011838137344036,0.25273994754144957,-2130278.6746285073,-198045750.09151182,-90779308.92372593,-3631.7427682630055,-3234.864052372747,4113.790885252936,150092601.84638458,-5476833.1271718,-2373950.4264737386
1997-09-20 15:05:30,-71960006.81760578,65,DSS-65,32561.625196133136,22765.142775733344,-39894.00760533902,0.15787647347183317,-0.15011838137344036,0.25273994754144957,-2130278.6746285073,-198045750.09151182,-90779308.92372593,-3631.7427682630055,-3234.864052372747,4113.790885252936,150092601.84638458,-5476833.1271718,-2373950.4264737386
1997-09-20 15:06:30,-71959946.81760578,65,DSS-65,32571.083716193207,22756.125839355904,-39878.825975588115,0.15740746863210642,-0.1504461688935966,0.253314386605056,-2128769.9471410653,-198045634.67243654,-90779296.78210162,-3617.555408777367,-3250.7187816872947,4113.793466688051,150092644.29898494,-5475201.188614483,-2373242.8396235257
